review_count,rating,price,categories,is_closed
194,4.5,2,cafes,0
95,4.5,2,cocktailbars,0
109,4.5,2,burgers,0
55,5.0,2,bars,0
145,4.5,1,delis,0
327,4.5,1,desserts,0
62,4.5,2,breakfast_brunch,0
5446,4.0,2,seafood,0
124,4.5,1,burgers,0
961,4.5,2,italian,0
82,4.5,2,coffee,0
595,4.5,2,korean,0
209,4.5,2,burgers,0
149,4.5,2,juicebars,0
268,4.5,1,coffee,0
104,4.5,1,coffee,0
261,4.5,4,newamerican,0
137,4.5,3,french,0
228,4.5,2,mexican,0
729,4.5,2,italian,0
2322,4.0,2,tapas,0
423,4.5,2,ramen,0
566,4.5,2,italian,0
928,4.5,3,newamerican,0
244,4.5,2,turkish,0
160,4.5,1,coffee,0
75,4.5,1,juicebars,0
937,4.5,2,tapas,0
288,4.5,1,falafel,0
178,4.5,1,bakeries,0
639,4.5,2,pizza,0
63,4.5,2,russian,0
442,4.5,2,french,0
229,4.5,1,desserts,0
73,4.5,2,tapas,0
279,4.5,2,japanese,0
149,4.5,2,french,0
89,4.5,1,breakfast_brunch,0
127,4.5,2,indpak,0
537,4.5,2,greek,0
2330,4.0,2,seafood,0
375,4.5,2,cheese,0
242,4.5,1,pizza,0
346,4.5,2,sandwiches,0
216,4.5,2,japanese,0
625,4.5,1,bakeries,0
501,4.5,3,italian,0
191,4.5,2,tapas,0
61,4.5,2,cheese,0
31,5.0,1,sandwiches,0
31,5.0,1,coffee,0
66,4.5,1,coffee,0
275,4.5,1,chinese,0
171,4.5,2,korean,0
506,4.5,2,ramen,0
419,4.5,3,newamerican,0
196,4.5,3,italian,0
998,4.5,4,newamerican,0
312,4.5,1,coffee,0
447,4.5,3,italian,0
305,4.5,2,bars,0
761,4.5,2,hawaiian,0
343,4.5,2,newamerican,0
204,4.5,2,korean,0
577,4.5,2,turkish,0
190,4.5,1,chinese,0
474,4.5,3,indpak,0
863,4.5,2,shanghainese,0
35,5.0,1,juicebars,0
354,4.5,1,foodstands,0
37,5.0,2,korean,0
105,4.5,4,sushi,0
105,4.5,2,japanese,0
790,4.5,3,lounges,0
464,4.5,2,greek,0
199,4.5,2,indpak,0
586,4.5,4,indpak,0
406,4.5,2,ramen,0
331,4.5,2,cocktailbars,0
157,4.5,2,japanese,0
315,4.5,1,chinese,0
94,4.5,2,italian,0
246,4.5,2,hotpot,0
67,4.5,2,sushi,0
227,4.5,3,japanese,0
519,4.5,2,vegan,0
2552,4.0,2,venezuelan,0
1771,4.0,2,cuban,0
75,4.5,2,bars,0
314,4.5,2,coffee,0
307,4.5,3,steak,0
743,4.5,2,comfortfood,0
351,4.5,2,mexican,0
92,4.5,1,pizza,0
184,4.5,1,mediterranean,0
129,4.5,2,halal,0
178,4.5,2,thai,0
341,4.5,1,pizza,0
73,4.5,2,pastashops,0
1133,4.0,3,japanese,0
427,4.5,2,indpak,0
304,4.5,1,teppanyaki,0
108,4.5,1,coffee,0
44,5.0,2,mexican,0
741,4.5,2,turkish,0
544,4.5,1,coffee,0
292,4.5,1,pizza,0
246,4.5,2,sandwiches,0
131,4.5,2,italian,0
858,4.5,2,korean,0
858,4.5,2,mediterranean,0
1030,4.0,2,bars,0
352,4.5,2,desserts,0
973,4.0,2,pizza,0
1323,4.0,2,seafoodmarkets,0
125,4.5,2,coffee,0
232,4.5,2,italian,0
625,4.5,2,thai,0
605,4.5,2,italian,0
644,4.5,2,peruvian,0
270,4.5,2,caribbean,0
205,4.5,2,vegetarian,0
61,4.5,2,mediterranean,0
585,4.5,2,breakfast_brunch,0
69,4.5,2,haitian,0
412,4.5,2,chinese,0
69,4.5,2,newamerican,0
133,4.5,2,chinese,0
38,5.0,1,cafes,0
454,4.5,4,japanese,0
144,4.5,2,coffee,0
830,4.5,2,thai,0
95,4.5,2,korean,0
1234,4.0,2,korean,0
316,4.5,2,wine_bars,0
174,4.5,2,greek,0
1484,4.0,1,vietnamese,0
3850,4.0,1,pizza,0
265,4.5,3,japanese,0
67,4.5,2,bars,0
416,4.5,2,cajun,0
164,4.5,2,ramen,0
164,4.5,2,korean,0
99,4.5,2,cocktailbars,0
87,4.5,1,indpak,0
93,4.5,4,japanese,0
52,5.0,2,burgers,0
161,4.5,2,thai,0
188,4.5,1,thai,0
309,4.5,4,italian,0
169,4.5,1,coffee,0
917,4.0,2,venezuelan,0
251,4.5,2,newamerican,0
